ORTSTEIL,GEMEINDE,BUNDESLAND,LAT,LON
Burkheim (Vogtsburg),Vogtsburg im Kaiserstuhl,Baden-Würtemberg,48.10094555,7.5982950587
Egringen,Efringen-Kirchen,Baden-Würtemberg,47.6643913,7.5984656
Mauchen (Schliengen),Schliengen,Baden-Würtemberg,47.76536115,7.6002392294
Jechtingen,Sasbach am Kaiserstuhl,Baden-Würtemberg,48.12012925,7.603920978
Tannenkirch,Kandern,Baden-Würtemberg,47.7117391,7.6058155
Liel (Schliengen),Schliengen,Baden-Würtemberg,47.7420541,7.606913839
Hügelheim,Müllheim (Baden),Baden-Würtemberg,47.8335305,7.6087093022
Märkt,Weil am Rhein,Baden-Würtemberg,47.6048182,7.6094052
Haltingen,Weil am Rhein,Baden-Würtemberg,47.6129413,7.612011
Bremgarten (Hartheim am Rhein),Hartheim am Rhein,Baden-Würtemberg,47.91407345,7.6121918737
Oberrotweil,Vogtsburg im Kaiserstuhl,Baden-Würtemberg,48.08304165,7.623152808
Vögisheim,Müllheim (Baden),Baden-Würtemberg,47.7896089,7.6242200262
Ötlingen (Weil am Rhein),Weil am Rhein,Baden-Würtemberg,47.6225824,7.624714
Holzen (Kandern),Kandern,Baden-Würtemberg,47.6937754,7.6257723
Achkarren,Vogtsburg im Kaiserstuhl,Baden-Würtemberg,48.0676579,7.6258617
Bischoffingen,Vogtsburg im Kaiserstuhl,Baden-Würtemberg,48.1048352,7.6278081
Niedereggenen,Schliengen,Baden-Würtemberg,47.7507304,7.6296758906
Seefelden (Buggingen),Buggingen,Baden-Würtemberg,47.86287955,7.6313761131
Leiselheim (Sasbach),Sasbach am Kaiserstuhl,Baden-Würtemberg,48.12211415,7.6343423135
Feldberg (Müllheim),Müllheim (Baden),Baden-Würtemberg,47.77102575,7.6347059085
Riedlingen (Kandern),Kandern,Baden-Würtemberg,47.714912,7.6354305
Tüllingen,Lörrach,Baden-Würtemberg,47.6013169,7.6398147
Feuerbach (Kandern),Kandern,Baden-Würtemberg,47.7354647,7.6410019
Gündlingen,Breisach am Rhein,Baden-Würtemberg,48.012507,7.64360128
