ORTSTEIL,GEMEINDE,BUNDESLAND,LAT,LON
Mainz-Neustadt,,Rheinland-Pfalz,50.001113000000004,8.258723
Mainz,,Rheinland-Pfalz,50.0012314,8.276251299999998
Mainz-Altstadt,,Rheinland-Pfalz,50.0012314,8.276251299999998
Reich (Hunsrück),,Rheinland-Pfalz,50.0013764,7.4334727
Sengwald,,Rheinland-Pfalz,50.00288755,7.0171338392321205
Koosbüsch,,Rheinland-Pfalz,50.0029043,6.4252762
Badem,,Rheinland-Pfalz,50.004038,6.6074904000000005
Dauwelshausen,,Rheinland-Pfalz,50.004791,6.185266599999999
Uhlerborn,,Rheinland-Pfalz,50.0049097,8.1375856
Herbstmühle,,Rheinland-Pfalz,50.00547975,6.22782226885831
Rheinböllen,,Rheinland-Pfalz,50.0058484,7.6701663
Külz (Hunsrück),,Rheinland-Pfalz,50.0063021,7.4938289000000005
Peterswald (Peterswald-Löffelscheid),,Rheinland-Pfalz,50.0063744,7.2873915999999985
Peterswald-Löffelscheid,,Rheinland-Pfalz,50.006426899999994,7.3051184000000005
Horhausen (Nassau),,Rheinland-Pfalz,50.006440000000005,10.42683
Burg (Mosel),,Rheinland-Pfalz,50.0078807,7.12495794657435
Niederweidingen,,Rheinland-Pfalz,50.00797,6.3727300000000024
Minderlittgen,,Rheinland-Pfalz,50.0084236,6.838091
Löffelscheid,,Rheinland-Pfalz,50.0084292,7.3192886
Dichtelbach,,Rheinland-Pfalz,50.008804999999995,7.695333099999999
Kinderbeuern,,Rheinland-Pfalz,50.00944000000001,7.0235634000000005
Gindorf,,Rheinland-Pfalz,50.010421799999996,6.6454226
Neuerburg,,Rheinland-Pfalz,50.0107307,6.2947705
Musweiler,,Rheinland-Pfalz,50.0108299,6.8005007
Trechtingshausen,,Rheinland-Pfalz,50.01128410000001,7.847867
Wüschheim (Hunsrück),,Rheinland-Pfalz,50.011877500000004,7.4215363
Bausendorf,,Rheinland-Pfalz,50.0123808,6.9968904000000025
Hütten (Eifel),,Rheinland-Pfalz,50.01301420000001,6.2571304
Niederkumbd,,Rheinland-Pfalz,50.0134047,7.5356302
Neuerkirch,,Rheinland-Pfalz,50.0139249,7.490708000000001
Michelbach (Hunsrück),,Rheinland-Pfalz,50.0152705,7.4542675
Bengel (Mosel),,Rheinland-Pfalz,50.0157756,7.0644879000000005
Pleizenhausen,,Rheinland-Pfalz,50.0158706,7.567924400000001
Biersdorf am See,,Rheinland-Pfalz,50.0160955,6.4519513
Gransdorf,,Rheinland-Pfalz,50.016446200000004,6.6897224
Hamm (Eifel),,Rheinland-Pfalz,50.016517799999995,6.4184627999999995
Siebenborn-Hütten,,Rheinland-Pfalz,50.01667,6.25
Flußbach,,Rheinland-Pfalz,50.016713,6.9263517000000006
Affler,,Rheinland-Pfalz,50.01688965,6.152383264151631
Rayerschied,,Rheinland-Pfalz,50.017427399999995,7.585944199999999
Otterbach (Westpfalz),,Rheinland-Pfalz,50.017655,6.870452
Altscheid,,Rheinland-Pfalz,50.0192187,6.3922544000000014
Nattenheim,,Rheinland-Pfalz,50.0198268,6.5183819000000005
Benzweiler,,Rheinland-Pfalz,50.02041,7.60575
Panzweiler,,Rheinland-Pfalz,50.0204195,7.3060045
Fließem,,Rheinland-Pfalz,50.0219629,6.5440632
Echtershausen,,Rheinland-Pfalz,50.0222201,6.4171273
Hetzhof,,Rheinland-Pfalz,50.0224324,7.027752099999999
Karlshausen,,Rheinland-Pfalz,50.0225313,6.2278855
Oberheimbach,,Rheinland-Pfalz,50.0226936,7.7857629
Mainz-Mombach,,Rheinland-Pfalz,50.022780499999996,8.2294986
Kaimt,,Rheinland-Pfalz,50.02312420000001,7.1786304
Reil,,Rheinland-Pfalz,50.0235872,7.1147494999999985
Budenheim,,Rheinland-Pfalz,50.0238182,8.1726488
Ließem (Eifel),,Rheinland-Pfalz,50.0245641,6.480622900000001
Großlittgen,,Rheinland-Pfalz,50.0251652,6.7990708
Walhausen,,Rheinland-Pfalz,50.0254295,7.2838414
Tellig,,Rheinland-Pfalz,50.0258723,7.2535115
Erbach (Hunsrück),,Rheinland-Pfalz,50.026109399999996,7.6815869999999995
Hundheim (Hunsrück),,Rheinland-Pfalz,50.0266853,7.4137837
Zell (Mosel),,Rheinland-Pfalz,50.0275681,7.181323299999999
Klosterkumbd,,Rheinland-Pfalz,50.0277539,7.534389
Briedel,,Rheinland-Pfalz,50.0284456,7.1464693
Plein,,Rheinland-Pfalz,50.02876320000001,6.874855499999999
Etteldorf,,Rheinland-Pfalz,50.0310055,6.5740327
Manubach,,Rheinland-Pfalz,50.0313506,7.759710000000001
Niederweiler (Eifel),,Rheinland-Pfalz,50.0315056,6.4431886
Alterkülz,,Rheinland-Pfalz,50.0315436,7.4657634999999996
Diefenbach (bei Wittlich),,Rheinland-Pfalz,50.0325138,6.9450225
Olkenbach,,Rheinland-Pfalz,50.0325872,6.985740400000001
Liebshausen,,Rheinland-Pfalz,50.032686,7.6294803
Oberdiebach,,Rheinland-Pfalz,50.0327847,7.7775064
Völkenroth,,Rheinland-Pfalz,50.0329756,7.394692200000001
Schladt,,Rheinland-Pfalz,50.033029799999994,6.840359299999999
Bickendorf,,Rheinland-Pfalz,50.033815399999995,6.500240799999999
Leideneck,,Rheinland-Pfalz,50.0339291,7.364080800000001
Niederheimbach,,Rheinland-Pfalz,50.034611,7.8059414999999985
Haserich,,Rheinland-Pfalz,50.036714,7.3254463
Willwerscheid,,Rheinland-Pfalz,50.0368414,6.9296823000000005
Budenbach,,Rheinland-Pfalz,50.036953600000004,7.568125599999999
Oberkail,,Rheinland-Pfalz,50.0370227,6.6794309000000025
Burscheid (Berkoth),,Rheinland-Pfalz,50.03742370000001,6.3525147
Karl (Eifel),,Rheinland-Pfalz,50.0377793,6.591152799999999
Blankenrath,,Rheinland-Pfalz,50.0384604,7.302789999999999
Greimerath (Eifel),,Rheinland-Pfalz,50.0386224,6.9104366
Merkeshausen,,Rheinland-Pfalz,50.0387219,6.4177265
Gipperath,,Rheinland-Pfalz,50.039149,6.8620981
Hasselbach (Hunsrück),,Rheinland-Pfalz,50.0392848,7.446022
Merl (Zell),,Rheinland-Pfalz,50.0398839,7.1704097
Pünderich,,Rheinland-Pfalz,50.0403021,7.1268052
Kyllburg,,Rheinland-Pfalz,50.041096,6.5922224
Ehlenz,,Rheinland-Pfalz,50.0412795,6.4714167
Hesweiler,,Rheinland-Pfalz,50.042889100000004,7.2797621
Steinbach (Hunsrück),,Rheinland-Pfalz,50.04369129999999,7.5939062
Berkoth,,Rheinland-Pfalz,50.04386829999999,6.3402057
Horn (Hunsrück),,Rheinland-Pfalz,50.0444634,7.5425933
Eisenschmitt,,Rheinland-Pfalz,50.04455220000001,6.7207171
Medenscheid (Bacharach),,Rheinland-Pfalz,50.0445813,7.7729344
Bell (Hunsrück),,Rheinland-Pfalz,50.04467775,7.3896292594174895
Moritzheim,,Rheinland-Pfalz,50.0459904,7.2596735
Malberg (Eifel),,Rheinland-Pfalz,50.0472052,6.5802308000000025
Beifels,,Rheinland-Pfalz,50.0488539,6.4233552000000005
Rom (Eifel),,Rheinland-Pfalz,50.0488539,6.4233552000000005
Ammeldingen bei Neuerburg,,Rheinland-Pfalz,50.049081799999996,6.275518
Spesenroth,,Rheinland-Pfalz,50.04919,7.4603456999999995
Krastel,,Rheinland-Pfalz,50.050473499999995,7.391201700000001
Wispelt,,Rheinland-Pfalz,50.0505657,6.985921799999999
Neurath (Bacharach),,Rheinland-Pfalz,50.0505793,7.7664849
Kisselbach,,Rheinland-Pfalz,50.051132,7.610763499999999
Hasborn (Eifel),,Rheinland-Pfalz,50.051297,6.909959
Kyllburgweiler,,Rheinland-Pfalz,50.052250799999996,6.6199664
Krinkhof,,Rheinland-Pfalz,50.0525578,7.0097426999999985
Steeg (Bacharach),,Rheinland-Pfalz,50.0539527,7.7475102
Malbergweich,,Rheinland-Pfalz,50.0548722,6.5546855
Jucken,,Rheinland-Pfalz,50.054998499999996,6.230645099999999
Bullay,,Rheinland-Pfalz,50.055211299999996,7.1327573000000015
Laubach (Hunsrück),,Rheinland-Pfalz,50.0557179,7.509938900000001
Schöneberg (Hunsrück),,Rheinland-Pfalz,50.0559824,7.5809239
Emmelbaum,,Rheinland-Pfalz,50.0563018,6.262149099999999
Alf (Mosel),,Rheinland-Pfalz,50.0564941,7.1255275
Reidenhausen,,Rheinland-Pfalz,50.0566362,7.3170527000000005
Wohnroth,,Rheinland-Pfalz,50.05733370000001,7.383971099999999
Riegenroth,,Rheinland-Pfalz,50.0574596,7.5799784
Niederöfflingen,,Rheinland-Pfalz,50.0582909,6.8868564
Bacharach,,Rheinland-Pfalz,50.059768,7.7684319
Heilbach,,Rheinland-Pfalz,50.06015295,6.295441987263678
Gemünden (Westerwald),,Rheinland-Pfalz,50.061141,9.684191
Niederscheidweiler,,Rheinland-Pfalz,50.0634216,6.9462093
Heilenbach,,Rheinland-Pfalz,50.0644438,6.4649769999999975
Mastershausen,,Rheinland-Pfalz,50.0645009,7.354773299999999
Krautscheid,,Rheinland-Pfalz,50.0647454,6.3319052000000005
Grenderich,,Rheinland-Pfalz,50.06529620000001,7.2278568
Oberöfflingen,,Rheinland-Pfalz,50.0653835,6.8669201
Trierisch Laudert,,Rheinland-Pfalz,50.065611,7.6024020000000005
Kickeshausen,,Rheinland-Pfalz,50.0666463,6.2438465620671
Hontheim,,Rheinland-Pfalz,50.0690311,6.992591
Neurath (Arzfeld),,Rheinland-Pfalz,50.0696546,6.260148
Daleiden,,Rheinland-Pfalz,50.070314,6.1839637000000005
Bad Bertrich,,Rheinland-Pfalz,50.071335499999996,7.0364466
Kastellaun,,Rheinland-Pfalz,50.0713361,7.442232499999999
Bubach,,Rheinland-Pfalz,50.0714346,7.5559132
Perscheid,,Rheinland-Pfalz,50.071504,7.6993827
Hollnich,,Rheinland-Pfalz,50.0728138,7.4876976
Bellscheid,,Rheinland-Pfalz,50.0731748,6.3478879999999975
Mauel,,Rheinland-Pfalz,50.073486100000004,6.3937253
Oberscheidweiler,,Rheinland-Pfalz,50.0738927,6.9351017000000015
Dahnen,,Rheinland-Pfalz,50.0741029,6.147078
Wiebelsheim,,Rheinland-Pfalz,50.07618170000001,7.635778200000001
Buch (Hunsrück),,Rheinland-Pfalz,50.076428,7.3898109
Henschhausen (Bacharach),,Rheinland-Pfalz,50.07710150000001,7.750564
Langenfeld (Eifel),,Rheinland-Pfalz,50.0771436,6.295858
Sosberg,,Rheinland-Pfalz,50.0772272,7.3379368000000005
Laudert,,Rheinland-Pfalz,50.077555700000005,7.6032905
Niederpierscheid,,Rheinland-Pfalz,50.0789808,6.3731260999999995
Laufeld,,Rheinland-Pfalz,50.0792259,6.864449900000001
Sankt Aldegund,,Rheinland-Pfalz,50.079782200000004,7.130062400000001
Hölzchen,,Rheinland-Pfalz,50.08001470000001,6.3109964000000005
Ebschied,,Rheinland-Pfalz,50.080217700000006,7.5171209
Irrhausen,,Rheinland-Pfalz,50.0805412,6.212452
Forst (Hunsrück),,Rheinland-Pfalz,50.081262100000004,7.319430367265808
Maisborn,,Rheinland-Pfalz,50.0819,7.581284200000001
Pfälzisch Laudert,,Rheinland-Pfalz,50.08333,7.6
Dierfeld,,Rheinland-Pfalz,50.0847994,6.8904024
Liesenich,,Rheinland-Pfalz,50.085482299999995,7.2664045
Sauerthal,,Rheinland-Pfalz,50.0855326,7.8214523
Bettenfeld,,Rheinland-Pfalz,50.08581470000001,6.7599838000000005
Senheim,,Rheinland-Pfalz,50.085936600000004,7.2112429
Lauperath,,Rheinland-Pfalz,50.0860384,6.3392943
Roth (Rhein-Hunsrück-Kreis),,Rheinland-Pfalz,50.086203399999995,7.456410400000001
Mückeln,,Rheinland-Pfalz,50.08634179999999,6.922633599999999
Arzfeld,,Rheinland-Pfalz,50.0871592,6.2676981
Gödenroth,,Rheinland-Pfalz,50.087315000000004,7.487721499999999
Uhler,,Rheinland-Pfalz,50.088044200000006,7.4322459
Kaub,,Rheinland-Pfalz,50.0880512,7.7620909
Bruch (Eifel),,Rheinland-Pfalz,50.0881477,6.4335032
Dellhofen,,Rheinland-Pfalz,50.088165999999994,7.724850599999999
Kennfus,,Rheinland-Pfalz,50.088582,7.0204447
Weiler (Boppard),,Rheinland-Pfalz,50.0890723,7.7047407
Mittelstrimmig,,Rheinland-Pfalz,50.08965300000001,7.285008099999999
Dudenroth,,Rheinland-Pfalz,50.08979620000001,7.539541900000001
Neef,,Rheinland-Pfalz,50.0904648,7.1384479999999995
Braunshorn,,Rheinland-Pfalz,50.0909006,7.5176661
Niedermanderscheid,,Rheinland-Pfalz,50.0910927,6.8174223
Pantenburg,,Rheinland-Pfalz,50.09116229999999,6.8385314
Mörz (Buch),,Rheinland-Pfalz,50.0914158,7.387944
Neidenbach,,Rheinland-Pfalz,50.0916684,6.552562
Greimelscheid,,Rheinland-Pfalz,50.09176565,6.40055010328905
Manderscheid (Islek),,Rheinland-Pfalz,50.091887,6.810223
Lambertsberg,,Rheinland-Pfalz,50.0923251,6.3930767
Altstrimmig,,Rheinland-Pfalz,50.0924872,7.292816
Lingerhahn,,Rheinland-Pfalz,50.0939566,7.5644379
Senhals,,Rheinland-Pfalz,50.0940125,7.189379428784928
Meerfeld,,Rheinland-Pfalz,50.09450579999999,6.7570454
Ediger,,Rheinland-Pfalz,50.094629,7.1580832999999995
Engehöll,,Rheinland-Pfalz,50.09598870000001,7.712569800000001
Hargarten (Eifel),,Rheinland-Pfalz,50.0967445,6.4073236
Mesenich,,Rheinland-Pfalz,50.0969947,7.1980171
Wallscheid,,Rheinland-Pfalz,50.0971579,6.8823628
Ediger-Eller,,Rheinland-Pfalz,50.0974961,7.1520385
Bremm,,Rheinland-Pfalz,50.0988706,7.1207035
Nimshuscheid,,Rheinland-Pfalz,50.0992915,6.4904675
Manderscheid,,Rheinland-Pfalz,50.10047,6.3463431
Damscheid,,Rheinland-Pfalz,50.1016112,7.6825567999999995
Feuerscheid,,Rheinland-Pfalz,50.1024099,6.4535264
Mörsdorf (Hunsrück),,Rheinland-Pfalz,50.1028621,7.3443429
Balesfeld,,Rheinland-Pfalz,50.1039375,6.5312014000000005
Wadenheim,,Rheinland-Pfalz,50.104033,7.269307
Eyersheim,,Rheinland-Pfalz,50.104033,7.269307
Hettenheim,,Rheinland-Pfalz,50.104033,7.269307
Kleinbockenheim,,Rheinland-Pfalz,50.104033,7.269307
Leidelheim,,Rheinland-Pfalz,50.104033,7.269307
Lindesheim,,Rheinland-Pfalz,50.104033,7.269307
Bonsbeuern,,Rheinland-Pfalz,50.104033,7.269307
Niedermiesau,,Rheinland-Pfalz,50.104033,7.269307
Eichelscheiderhof,,Rheinland-Pfalz,50.104033,7.269307
Niederohmbach,,Rheinland-Pfalz,50.104033,7.269307
Oberohmbach,,Rheinland-Pfalz,50.104033,7.269307
Bleichenviertel,,Rheinland-Pfalz,50.104033,7.269307
Lauterenviertel,,Rheinland-Pfalz,50.104033,7.269307
Selenhofen,,Rheinland-Pfalz,50.104033,7.269307
Hillesheim (Rheinhessen),,Rheinland-Pfalz,50.104033,7.269307
Niederkasbach,,Rheinland-Pfalz,50.104033,7.269307
Oberkasbach,,Rheinland-Pfalz,50.104033,7.269307
Oberhirzenach,,Rheinland-Pfalz,50.104033,7.269307
Finsternheim,,Rheinland-Pfalz,50.104033,7.269307
Beuren (Saargau),,Rheinland-Pfalz,50.104033,7.269307
Neuhütten (Hochwald),,Rheinland-Pfalz,50.104033,7.269307
Worms-Wiesoppenheim,,Rheinland-Pfalz,50.104033,7.269307
Deudesfeld,,Rheinland-Pfalz,50.104099600000005,6.7305744999999995
Desserath,,Rheinland-Pfalz,50.1046141,6.7040644
Dörscheid,,Rheinland-Pfalz,50.105786,7.757058099999999
Beltheim,,Rheinland-Pfalz,50.1059222,7.461423399999999
Hickeshausen,,Rheinland-Pfalz,50.1059246,6.2485551
Burbach (Eifel),,Rheinland-Pfalz,50.10643620000001,6.5177176
Hausbay,,Rheinland-Pfalz,50.1068833,7.5587724000000005
Korweiler,,Rheinland-Pfalz,50.1073381,7.4155039
Halenbach,,Rheinland-Pfalz,50.107403999999995,6.2586455
Oberwesel,,Rheinland-Pfalz,50.1075,7.7266193
Kliding,,Rheinland-Pfalz,50.108430799999994,7.056046
Kopscheid,,Rheinland-Pfalz,50.1087347,6.327971099999999
Lichtenborn,,Rheinland-Pfalz,50.109395899999996,6.2928361
Lascheid (Eifel),,Rheinland-Pfalz,50.1097437,6.410008
Briedern,,Rheinland-Pfalz,50.1099723,7.209144599999999
Strotzbüsch,,Rheinland-Pfalz,50.1104025,6.9650677
Meisburg,,Rheinland-Pfalz,50.110507,6.6881325
Strohn,,Rheinland-Pfalz,50.11058370000001,6.9208965
Eckfeld,,Rheinland-Pfalz,50.1107619,6.846476299999999
Ellenz-Poltersdorf,,Rheinland-Pfalz,50.1108298,7.2294544000000025
Beilstein (Mosel),,Rheinland-Pfalz,50.111057,7.2385490999999975
Mannebach (Beltheim),,Rheinland-Pfalz,50.111073100000006,7.4320787
Heilhausen,,Rheinland-Pfalz,50.1113828,6.3484377
Mannebach (Eifel),,Rheinland-Pfalz,50.11144,7.43253
Lasel,,Rheinland-Pfalz,50.11264310000001,6.4679187
Eschfeld,,Rheinland-Pfalz,50.1126629,6.2004404000000015
Pfalzfeld,,Rheinland-Pfalz,50.113196200000004,7.578752199999999
Neuheilenbach,,Rheinland-Pfalz,50.1133466,6.5606322
Zilshausen,,Rheinland-Pfalz,50.113395600000004,7.383223200000001
Hinkelhaus,,Rheinland-Pfalz,50.114655,8.332773
Binscheid,,Rheinland-Pfalz,50.114718599999996,6.247882
Frankweiler (Beltheim),,Rheinland-Pfalz,50.1160451,7.4888589
Kinzenburg,,Rheinland-Pfalz,50.11632395,6.33720634984381
Birkheim,,Rheinland-Pfalz,50.116839,7.622304
Niederburg,,Rheinland-Pfalz,50.117825599999996,7.694747200000001
Urschmitt,,Rheinland-Pfalz,50.1179615,7.0626048
Weisel (Rhein-Lahn-Kreis),,Rheinland-Pfalz,50.1184107,7.8006865
Dackscheid,,Rheinland-Pfalz,50.1185473,6.3881407
Sabershausen,,Rheinland-Pfalz,50.1200815,7.4127656
Schnellbach (Beltheim),,Rheinland-Pfalz,50.1203578,7.514075999999999
Mühlpfad,,Rheinland-Pfalz,50.1211795,7.554398700000001
Huf (Üttfeld),,Rheinland-Pfalz,50.1211972,6.2638317
Badenhard,,Rheinland-Pfalz,50.1228494,7.632383900000001
Norath,,Rheinland-Pfalz,50.12457379999999,7.577742
Lahr (Hunsrück),,Rheinland-Pfalz,50.1254275,7.365723599999999
Bleckhausen,,Rheinland-Pfalz,50.1256419,6.7770284
Heyweiler,,Rheinland-Pfalz,50.1263237,7.462384299999999
Densborn,,Rheinland-Pfalz,50.1263967,6.6008166
Bickenbach (Hunsrück),,Rheinland-Pfalz,50.1264152,7.526693700000001
Fankel,,Rheinland-Pfalz,50.1268218,7.2296663
Sevenich (Beltheim),,Rheinland-Pfalz,50.1268237,7.4827305
Bornich,,Rheinland-Pfalz,50.1270097,7.7659172
Niedert,,Rheinland-Pfalz,50.1270259,7.542428299999999
Gillenfeld,,Rheinland-Pfalz,50.127461700000005,6.9048588
Lutzerath,,Rheinland-Pfalz,50.127675,7.0056502000000025
Dohr,,Rheinland-Pfalz,50.1283739,7.1201981
Bruttig-Fankel,,Rheinland-Pfalz,50.1290646,7.230322599999999
Eilscheid,,Rheinland-Pfalz,50.1294969,6.3869358
Welterod,,Rheinland-Pfalz,50.130547,7.889736999999999
Urbar (Rhein-Hunsrück-Kreis),,Rheinland-Pfalz,50.1309049,7.7197143
Immerath,,Rheinland-Pfalz,50.131015500000004,6.956119900000001
Brauheck,,Rheinland-Pfalz,50.13124505,7.14140877841524
Brauheck,,Rheinland-Pfalz,50.13124505,7.14140877841524
Nimsreuland,,Rheinland-Pfalz,50.131377799999996,6.4503483
Utzenhain,,Rheinland-Pfalz,50.131564399999995,7.639717200000001
Sehl,,Rheinland-Pfalz,50.13191135,7.18042337089734
Leiningen (Hunsrück),,Rheinland-Pfalz,50.132011799999994,7.570920699999999
Brockscheid,,Rheinland-Pfalz,50.13238270000001,6.8442098
Herzfeld (Eifel),,Rheinland-Pfalz,50.1329974,6.2099926
Euscheid,,Rheinland-Pfalz,50.13309570000001,6.3041574
Bruttig,,Rheinland-Pfalz,50.1332118,7.2329393
Schloß Reifenthal,,Rheinland-Pfalz,50.1337447,7.5551165
Driesch (Lutzerath),,Rheinland-Pfalz,50.133798799999994,7.0203143
Beurenhof,,Rheinland-Pfalz,50.1339021,7.2872612000000005
Heisdorf,,Rheinland-Pfalz,50.1343945,6.4301935
Thörlingen,,Rheinland-Pfalz,50.13460870000001,7.5327796000000005
Lierfeld,,Rheinland-Pfalz,50.134863,6.364234099999999
Niederüttfeld,,Rheinland-Pfalz,50.136390399999996,6.2527702000000005
Leidenborn,,Rheinland-Pfalz,50.13759320000001,6.2171559
Tettscheid,,Rheinland-Pfalz,50.1377687,6.8258684999999995
Wagenhausen (Eifel),,Rheinland-Pfalz,50.13781435,6.982023110138838
Ernst (Mosel),,Rheinland-Pfalz,50.138045500000004,7.2102174
Harspelt,,Rheinland-Pfalz,50.13823729999999,6.1721045
Udler,,Rheinland-Pfalz,50.138336100000004,6.876607300000001
Lünebach,,Rheinland-Pfalz,50.1387569,6.3478954000000005
Strüth,,Rheinland-Pfalz,50.1388662,7.888783900000001
Dorweiler (Dommershausen),,Rheinland-Pfalz,50.1394543,7.4227762
Lieg,,Rheinland-Pfalz,50.1396138,7.3467419000000005
Saxler,,Rheinland-Pfalz,50.1402819,6.8959817999999995
Lipporn,,Rheinland-Pfalz,50.1403577,7.862928599999999
Weiler (bei Ulmen),,Rheinland-Pfalz,50.1416289,7.0766082
Sauerbrunnen (Leiningen),,Rheinland-Pfalz,50.142123,7.5631432
Valwig,,Rheinland-Pfalz,50.1425201,7.2101163
Hungenroth,,Rheinland-Pfalz,50.1430529,7.5997072
Dommershausen,,Rheinland-Pfalz,50.1437492,7.400450500000001
Lamscheid,,Rheinland-Pfalz,50.143966799999994,7.5735204
Rodenbach (Westpfalz),,Rheinland-Pfalz,50.144062,9.020873
Rettershain,,Rheinland-Pfalz,50.1453936,7.830627000000001
Schwall (Rhein-Hunsrück-Kreis),,Rheinland-Pfalz,50.1456344,7.555716900000001
Winkel (Eifel),,Rheinland-Pfalz,50.1458455,6.950701852105991
Faid,,Rheinland-Pfalz,50.146161799999994,7.1204213
Basselscheid,,Rheinland-Pfalz,50.1468693,7.5400462
Lützkampen,,Rheinland-Pfalz,50.147011,6.1863234
Matzerath,,Rheinland-Pfalz,50.1474099,6.3782227
Biebernheim,,Rheinland-Pfalz,50.1483052,7.706175200000001
Cochem,,Rheinland-Pfalz,50.148391600000004,7.166319500000001
Dörth,,Rheinland-Pfalz,50.1492053,7.5903431
Trittscheid,,Rheinland-Pfalz,50.149710299999995,6.82494
Cond,,Rheinland-Pfalz,50.14976905,7.18760306719186
Sankt Goar,,Rheinland-Pfalz,50.15,7.71667
Dingdorf,,Rheinland-Pfalz,50.1507466,6.4369653
Ellscheid,,Rheinland-Pfalz,50.1511816,6.914705099999999
Weißenseifen,,Rheinland-Pfalz,50.1517159,6.5493716
Salm (Eifel),,Rheinland-Pfalz,50.15287,6.690589999999999
Üdersdorf,,Rheinland-Pfalz,50.1529533,6.803656
Kesfeld,,Rheinland-Pfalz,50.1534189,6.2308079
Berg (Taunus),,Rheinland-Pfalz,50.1543124,7.883004700000001
Weidenbach (Taunus),,Rheinland-Pfalz,50.1543124,7.883004700000001
Gevenich,,Rheinland-Pfalz,50.1544843,7.086237400000001
Sankt Goarshausen,,Rheinland-Pfalz,50.1548796,7.7160975999999994
Wallenborn,,Rheinland-Pfalz,50.154903600000004,6.7213455
Gillenbeuren,,Rheinland-Pfalz,50.1550576,7.0185213000000015
Wollmerath,,Rheinland-Pfalz,50.1555036,6.9826083
Patersberg,,Rheinland-Pfalz,50.1557242,7.7372497000000005
Eveshausen,,Rheinland-Pfalz,50.1557436,7.391342900000001
Emmelshausen,,Rheinland-Pfalz,50.15576179999999,7.555780199999999
Masthorn,,Rheinland-Pfalz,50.15583745,6.29589707793821
Liesenfeld (Emmelshausen),,Rheinland-Pfalz,50.1566136,7.5409215
Werlau,,Rheinland-Pfalz,50.15686470000001,7.68452
Gotteshäuserhof,,Rheinland-Pfalz,50.1569875,7.3330854999999975
Reichenberg (Rheinland-Pfalz),,Rheinland-Pfalz,50.156999400000004,7.7599984
Niederhochstadt,,Rheinland-Pfalz,50.157140000000005,8.54773
Karbach (Hunsrück),,Rheinland-Pfalz,50.1583105,7.6158291
Berg (Großkampenberg),,Rheinland-Pfalz,50.158984000000004,6.2134342
Großkampen,,Rheinland-Pfalz,50.158984000000004,6.2134342
Großkampenberg,,Rheinland-Pfalz,50.158984000000004,6.2134342
Obergondershausen,,Rheinland-Pfalz,50.15937,7.48336
Gondershausen,,Rheinland-Pfalz,50.159665600000004,7.4937685
Niederstadtfeld,,Rheinland-Pfalz,50.1598716,6.7639564
Lütz,,Rheinland-Pfalz,50.1599249,7.358872099999999
Niedergondershausen,,Rheinland-Pfalz,50.160509999999995,7.496980000000001
Niederlauch,,Rheinland-Pfalz,50.16135360000001,6.4274633
Oberwallmenach,,Rheinland-Pfalz,50.1622495,7.8290201
Diethardt,,Rheinland-Pfalz,50.1624241,7.8736891
Holzfeld,,Rheinland-Pfalz,50.16341129999999,7.6459879
Klotten,,Rheinland-Pfalz,50.1641546,7.2003745
Niederwallmenach,,Rheinland-Pfalz,50.164503100000005,7.811772200000001
Schalkenmehren,,Rheinland-Pfalz,50.165343799999995,6.8596367
Fellen (St. Goar),,Rheinland-Pfalz,50.165558600000004,7.6849883000000005
Filz (Eifel),,Rheinland-Pfalz,50.16667,6.9833300000000005
Lautert,,Rheinland-Pfalz,50.1681065,7.840991099999999
Weiersbach (Daun),,Rheinland-Pfalz,50.1684255,6.8005024
Honshäuserhof,,Rheinland-Pfalz,50.1685219,7.3301491
Pommern (Mosel),,Rheinland-Pfalz,50.1693436,7.2699826000000005
Niederhersdorf,,Rheinland-Pfalz,50.1693713,6.4873342
Lierschied,,Rheinland-Pfalz,50.1694017,7.7454526
Mermuth,,Rheinland-Pfalz,50.1704888,7.4830176999999996
Auel,,Rheinland-Pfalz,50.1707347,7.765514200000001
Wellmich,,Rheinland-Pfalz,50.17149860000001,7.6928464000000005
Hersdorf,,Rheinland-Pfalz,50.1715226,6.5086497
Sankt Sebastian (am Rhein),,Rheinland-Pfalz,50.17178975,7.6759858553764495
Ehrenthal (Sankt Goarshausen),,Rheinland-Pfalz,50.1719448,7.6759364
Rheinbay,,Rheinland-Pfalz,50.1731365,7.624735899999999
Macken,,Rheinland-Pfalz,50.1735562,7.3971965
Treis (Treis-Karden),,Rheinland-Pfalz,50.1736915,7.3013122
Treis-Karden,,Rheinland-Pfalz,50.1736915,7.3013122
Demerath,,Rheinland-Pfalz,50.1739501,6.9418072
Beulich,,Rheinland-Pfalz,50.1739614,7.4525489
Münchenroth,,Rheinland-Pfalz,50.1743085,7.879906200000001
Halsenbach,,Rheinland-Pfalz,50.1751197,7.5522809
Birresborn,,Rheinland-Pfalz,50.1752564,6.625105199999999
Oberstadtfeld,,Rheinland-Pfalz,50.1761307,6.7667708
Kopp (Vulkaneifel),,Rheinland-Pfalz,50.1761468,6.585432300000001
Oberhersdorf,,Rheinland-Pfalz,50.1764427,6.5166709
Grenzhäuserhof,,Rheinland-Pfalz,50.1769816,7.327597181988468
Alflen,,Rheinland-Pfalz,50.1771038,7.0409561
Nochern,,Rheinland-Pfalz,50.177158,7.7245313
Hirzenach,,Rheinland-Pfalz,50.1772675,7.644383400000001
